n,p,runs,w_mean,w_std,w_min,w_max,d_mean,d_std,d_min,d_max
100,0.005,8,79.5,3.779644730092272,73.0,84.0,95.125,0.6408699444616558,94.0,96.0
100,0.0075,8,75.125,2.799872446074234,71.0,80.0,93.625,1.4078859531733587,92.0,96.0
100,0.01,8,67.625,3.7008686239082538,63.0,75.0,92.625,1.3024701806293193,90.0,94.0
100,0.015,8,58.875,6.289163014946538,52.0,67.0,90.0,2.138089935299395,86.0,93.0
100,0.02,8,55.75,5.175491695067657,49.0,64.0,86.5,1.7728105208558367,84.0,89.0
100,0.03,8,41.375,2.1339098923270936,39.0,44.0,77.375,3.9256482631170977,71.0,83.0
100,0.04,8,33.375,2.8753881725529062,28.0,37.0,67.375,3.2486260832190936,62.0,73.0
100,0.05,8,28.0,1.511857892036909,26.0,30.0,56.875,5.89036743942418,47.0,66.0
100,0.06,8,25.375,2.8753881725529062,22.0,31.0,50.25,3.0589447293376937,45.0,55.0
100,0.07,8,22.25,1.9820624179302297,20.0,26.0,43.0,3.1622776601683795,38.0,48.0
100,0.08,8,21.75,3.24037034920393,18.0,26.0,40.875,5.866064633612068,34.0,49.0
100,0.09,8,18.875,2.416461403433896,16.0,23.0,33.375,3.37797487937881,29.0,39.0
100,0.1,8,17.25,1.6690459207925603,15.0,20.0,29.875,3.9074105418879577,24.0,36.0
100,0.1125,8,14.875,1.3562026818605375,13.0,17.0,23.875,2.1671244937540095,22.0,29.0
100,0.125,8,13.75,1.4880476182856899,12.0,16.0,23.0,1.8516401995451028,20.0,25.0
100,0.15,8,11.375,0.7440238091428449,11.0,13.0,17.5,1.4142135623730951,16.0,19.0
100,0.175,8,10.375,0.9161253813129043,9.0,12.0,15.625,1.9955307206712847,14.0,20.0
100,0.2,8,9.625,1.4078859531733587,8.0,12.0,14.25,2.1213203435596424,12.0,17.0
100,0.25,8,7.125,0.8345229603962802,6.0,8.0,9.25,1.2817398889233116,7.0,11.0
100,0.3,8,6.75,0.8864052604279183,6.0,8.0,7.625,1.1877349391654208,6.0,9.0
100,0.4,8,5.0,0.7559289460184545,4.0,6.0,4.875,1.1259916264596033,4.0,7.0
100,0.5,8,5.0,0.5345224838248488,4.0,6.0,4.125,0.3535533905932738,4.0,5.0
100,0.6,8,3.375,0.5175491695067657,3.0,4.0,2.75,0.4629100498862757,2.0,3.0
100,0.7,8,2.875,0.3535533905932738,2.0,3.0,2.125,0.3535533905932738,2.0,3.0
100,0.8,8,2.375,0.5175491695067657,2.0,3.0,1.5,0.5345224838248488,1.0,2.0
100,0.9,8,2.0,0.0,2.0,2.0,1.0,0.0,1.0,1.0
200,0.005,8,139.875,4.4860896112315904,133.0,148.0,192.25,1.164964745021435,191.0,194.0
200,0.0075,8,121.0,4.105745103771404,115.0,126.0,187.875,1.8850918886280925,185.0,191.0
200,0.01,8,103.875,6.490377492873585,93.0,113.0,183.125,1.3562026818605375,181.0,185.0
200,0.015,8,82.375,3.2486260832190936,78.0,87.0,169.875,1.4577379737113252,168.0,172.0
200,0.02,8,68.375,2.615202805574687,65.0,72.0,151.625,5.755432216610669,143.0,160.0
200,0.03,8,52.125,1.552647508520297,49.0,54.0,117.5,5.42481072744215,109.0,124.0
200,0.04,8,40.0,1.8516401995451028,38.0,44.0,91.375,4.2067123233504535,85.0,97.0
200,0.05,8,33.625,1.7677669529663689,31.0,35.0,74.75,4.832922806867792,68.0,83.0
200,0.06,8,28.25,1.6690459207925603,26.0,31.0,59.25,2.6049403612586386,54.0,62.0
200,0.07,8,25.875,0.9910312089651149,24.0,27.0,52.375,3.9256482631170977,46.0,57.0
200,0.08,8,22.75,1.2817398889233116,21.0,25.0,42.875,4.257346591481601,38.0,50.0
200,0.09,8,20.375,1.7677669529663689,18.0,23.0,39.0,2.8284271247461903,35.0,44.0
200,0.1,8,18.125,1.807721533549109,16.0,21.0,31.875,2.4748737341529163,27.0,35.0
200,0.1125,8,16.125,1.807721533549109,14.0,19.0,28.0,2.0701966780270626,25.0,30.0
200,0.125,8,15.375,0.9161253813129043,14.0,17.0,25.0,1.8516401995451028,23.0,29.0
200,0.15,8,13.125,1.552647508520297,11.0,15.0,19.5,1.511857892036909,18.0,23.0
200,0.175,8,12.375,1.1877349391654208,11.0,14.0,17.5,1.7728105208558367,15.0,20.0
200,0.2,8,9.75,0.7071067811865476,9.0,11.0,15.125,1.1259916264596033,13.0,16.0
200,0.25,8,8.375,0.9161253813129043,7.0,10.0,10.25,1.4880476182856899,8.0,12.0
200,0.3,8,7.625,0.5175491695067657,7.0,8.0,8.125,0.6408699444616558,7.0,9.0
200,0.4,8,6.0,0.7559289460184545,5.0,7.0,5.75,0.4629100498862757,5.0,6.0
200,0.5,8,4.5,0.5345224838248488,4.0,5.0,4.25,0.4629100498862757,4.0,5.0
200,0.6,8,4.125,0.6408699444616558,3.0,5.0,3.5,0.5345224838248488,3.0,4.0
200,0.7,8,3.5,0.5345224838248488,3.0,4.0,2.5,0.5345224838248488,2.0,3.0
200,0.8,8,2.75,0.4629100498862757,2.0,3.0,1.875,0.3535533905932738,1.0,2.0
200,0.9,8,2.125,0.3535533905932738,2.0,3.0,1.125,0.3535533905932738,1.0,2.0
300,0.005,8,178.5,9.486832980505138,166.0,191.0,286.75,1.9086270308410553,284.0,289.0
300,0.0075,8,145.375,5.262739645035518,139.0,152.0,273.875,2.850438562747845,270.0,279.0
300,0.01,8,123.875,5.19443383412888,118.0,135.0,261.75,5.994044663544928,254.0,271.0
300,0.015,8,96.0,5.903993805649093,90.0,105.0,229.875,7.936128959205669,220.0,246.0
300,0.02,8,76.25,5.897941529526576,68.0,87.0,190.375,8.830749846821778,179.0,207.0
300,0.03,8,54.625,2.326094212561969,51.0,57.0,136.625,6.759913355319621,126.0,148.0
300,0.04,8,42.625,1.9955307206712847,40.0,46.0,97.75,3.4121631178560534,91.0,101.0
300,0.05,8,34.75,2.052872551885702,33.0,39.0,75.125,2.03100960115899,71.0,78.0
300,0.06,8,29.5,1.511857892036909,27.0,31.0,63.125,4.223657859520077,58.0,72.0
300,0.07,8,25.25,1.8322507626258087,22.0,27.0,51.625,3.2043497223082786,47.0,56.0
300,0.08,8,22.875,2.2320714274285347,20.0,26.0,44.125,3.3567628964311944,40.0,51.0
300,0.09,8,20.75,1.2817398889233116,18.0,22.0,39.125,2.1671244937540095,36.0,42.0
300,0.1,8,18.375,1.3024701806293193,17.0,21.0,33.5,2.0,31.0,36.0
300,0.1125,8,17.0,1.511857892036909,15.0,20.0,29.625,1.1877349391654208,28.0,32.0
300,0.125,8,15.0,1.511857892036909,13.0,17.0,25.0,2.32992949004287,23.0,29.0
300,0.15,8,13.5,1.4142135623730951,12.0,16.0,21.0,2.5071326821120348,17.0,24.0
300,0.175,8,11.375,0.9161253813129043,10.0,13.0,16.25,1.3887301496588271,15.0,19.0
300,0.2,8,10.625,0.7440238091428449,10.0,12.0,14.375,0.9161253813129043,13.0,16.0
300,0.25,8,8.25,0.4629100498862757,8.0,9.0,10.75,0.8864052604279183,9.0,12.0
300,0.3,8,7.125,0.6408699444616558,6.0,8.0,8.75,0.7071067811865476,8.0,10.0
300,0.4,8,5.875,0.6408699444616558,5.0,7.0,5.875,0.6408699444616558,5.0,7.0
300,0.5,8,5.0,0.5345224838248488,4.0,6.0,4.5,0.5345224838248488,4.0,5.0
300,0.6,8,4.25,0.7071067811865476,4.0,6.0,3.375,0.7440238091428449,3.0,5.0
300,0.7,8,3.375,0.5175491695067657,3.0,4.0,2.625,0.5175491695067657,2.0,3.0
300,0.8,8,2.875,0.3535533905932738,2.0,3.0,1.875,0.3535533905932738,1.0,2.0
300,0.9,8,2.25,0.4629100498862757,2.0,3.0,1.25,0.4629100498862757,1.0,2.0
500,0.005,8,233.25,6.158617655657106,224.0,241.0,467.375,3.113908889391045,462.0,472.0
500,0.0075,8,177.25,7.206148168652337,170.0,191.0,430.625,6.843923269169936,419.0,441.0
500,0.01,8,148.125,5.866064633612068,139.0,157.0,391.25,8.345229603962801,372.0,401.0
500,0.015,8,106.125,4.4860896112315904,101.0,115.0,296.375,12.35125788851368,280.0,310.0
500,0.02,8,78.875,2.748376143938713,75.0,82.0,218.5,9.841602656942763,202.0,229.0
500,0.03,8,57.375,3.461523198989551,53.0,62.0,138.375,5.125217765408329,131.0,147.0
500,0.04,8,44.5,1.7728105208558367,42.0,47.0,103.875,3.313931631332013,97.0,107.0
500,0.05,8,36.25,1.4880476182856899,34.0,38.0,79.375,3.2486260832190936,75.0,85.0
500,0.06,8,30.75,1.6690459207925603,27.0,32.0,63.0,2.2677868380553634,59.0,66.0
500,0.07,8,27.25,1.8322507626258087,25.0,31.0,54.5,3.2513733362117265,50.0,59.0
500,0.08,8,22.875,1.807721533549109,21.0,26.0,45.5,1.6903085094570331,43.0,48.0
500,0.09,8,21.125,1.3562026818605375,20.0,24.0,39.75,1.9820624179302297,37.0,44.0
500,0.1,8,19.5,0.9258200997725514,18.0,21.0,34.0,1.7728105208558367,32.0,36.0
500,0.1125,8,18.125,1.1259916264596033,16.0,19.0,31.75,1.9086270308410553,28.0,34.0
500,0.125,8,15.875,0.8345229603962802,15.0,17.0,26.5,1.0690449676496976,25.0,28.0
500,0.15,8,13.625,0.7440238091428449,13.0,15.0,20.875,1.246423454758225,19.0,23.0
500,0.175,8,12.875,0.6408699444616558,12.0,14.0,18.875,0.8345229603962802,18.0,20.0
500,0.2,8,10.75,0.7071067811865476,10.0,12.0,15.375,1.0606601717798212,14.0,17.0
500,0.25,8,8.625,0.7440238091428449,8.0,10.0,11.0,0.9258200997725514,10.0,12.0
500,0.3,8,7.875,0.6408699444616558,7.0,9.0,8.875,0.6408699444616558,8.0,10.0
500,0.4,8,6.25,0.4629100498862757,6.0,7.0,6.375,0.5175491695067657,6.0,7.0
500,0.5,8,4.875,0.3535533905932738,4.0,5.0,4.625,0.7440238091428449,4.0,6.0
500,0.6,8,4.125,0.3535533905932738,4.0,5.0,3.25,0.4629100498862757,3.0,4.0
500,0.7,8,3.875,0.3535533905932738,3.0,4.0,3.0,0.0,3.0,3.0
500,0.8,8,3.0,0.0,3.0,3.0,2.0,0.0,2.0,2.0
500,0.9,7,2.4285714285714284,0.5345224838248488,2.0,3.0,1.4285714285714286,0.5345224838248488,1.0,2.0
750,0.005,8,272.875,6.812540956626557,264.0,282.0,669.875,5.19443383412888,661.0,675.0
750,0.0075,8,201.5,5.477225575051661,193.0,208.0,577.375,15.665590135252303,550.0,601.0
750,0.01,7,156.0,5.627314338711377,151.0,165.0,473.2857142857143,10.177004891982149,462.0,490.0
750,0.015,7,108.85714285714286,5.0142653642240695,98.0,113.0,322.57142857142856,10.845231561338265,305.0,339.0
750,0.02,7,85.0,3.872983346207417,80.0,90.0,231.85714285714286,10.652520381402256,215.0,245.0
750,0.03,7,57.285714285714285,2.563479777846623,54.0,61.0,142.0,10.14889156509222,128.0,159.0
750,0.04,7,45.0,1.9148542155126762,42.0,47.0,108.14285714285714,5.899959644736887,99.0,115.0
750,0.05,7,36.0,1.2909944487358056,34.0,38.0,80.71428571428571,3.401680257083045,77.0,87.0
750,0.06,7,31.571428571428573,1.7182493859684491,30.0,34.0,65.42857142857143,2.439750182371333,62.0,69.0
750,0.07,7,27.428571428571427,0.7867957924694432,27.0,29.0,53.42857142857143,2.2253945610567474,50.0,56.0
750,0.08,7,23.857142857142858,0.8997354108424374,23.0,25.0,46.714285714285715,2.811540841738193,43.0,51.0
750,0.09,7,21.714285714285715,1.7994708216848747,20.0,25.0,40.285714285714285,1.4960264830861913,39.0,43.0
750,0.1,7,19.428571428571427,0.9759000729485332,18.0,21.0,34.714285714285715,0.7559289460184545,34.0,36.0
750,0.1125,7,17.714285714285715,1.1126972805283737,17.0,20.0,31.285714285714285,1.7994708216848747,29.0,34.0
750,0.125,7,16.142857142857142,0.6900655593423543,15.0,17.0,27.428571428571427,1.511857892036909,26.0,30.0
750,0.15,7,13.428571428571429,0.5345224838248488,13.0,14.0,22.857142857142858,1.6761634196950514,21.0,25.0
750,0.175,7,12.428571428571429,0.5345224838248488,12.0,13.0,19.0,1.632993161855452,17.0,22.0
750,0.2,7,10.857142857142858,0.6900655593423543,10.0,12.0,15.428571428571429,0.7867957924694432,14.0,16.0
750,0.25,7,9.285714285714286,0.7559289460184545,8.0,10.0,11.857142857142858,0.6900655593423543,11.0,13.0
750,0.3,7,7.714285714285714,0.4879500364742666,7.0,8.0,9.142857142857142,0.37796447300922725,9.0,10.0
750,0.4,7,6.0,0.0,6.0,6.0,6.571428571428571,0.5345224838248488,6.0,7.0
750,0.5,7,5.0,0.5773502691896257,4.0,6.0,4.857142857142857,0.37796447300922725,4.0,5.0
750,0.6,7,4.428571428571429,0.5345224838248488,4.0,5.0,3.5714285714285716,0.5345224838248488,3.0,4.0
750,0.7,7,3.857142857142857,0.37796447300922725,3.0,4.0,3.0,0.0,3.0,3.0
750,0.8,7,3.142857142857143,0.37796447300922725,3.0,4.0,2.142857142857143,0.37796447300922725,2.0,3.0
750,0.9,7,2.7142857142857144,0.4879500364742666,2.0,3.0,1.7142857142857142,0.4879500364742666,1.0,2.0
1000,0.005,7,291.14285714285717,6.669047194029329,281.0,299.0,837.1428571428571,7.537209285241044,824.0,846.0
